"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WESD","WESD_ATTRIBUTES","WSFI","WSFI_ATTRIBUTES"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-02-27","1.79",",,T","0.00",",,T","5.0",",,T","36",",,T","52",",,T","25",",,T","27",",,T","2.4",",,T","11.4",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-02-28","1.57",",,T","0.00",",,T","5.0",",,T","36",",,T","51",",,T","26",",,T","35",",,T","2.3",",,T","8.1",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-03-01","1.79",",,T","0.00",",,T","4.0",",,T","37",",,T","47",",,T","30",",,T","35",",,T","2.2",",,T","9.2",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-03-02","2.91",",,T","0.00",",,T","4.0",",,T","30",",,T","38",",,T","19",",,T","22",",,T","2.2",",,T","25.3",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-03-03","1.79",",,T","0.30",",,T","8.0",",,T","23",",,T","28",",,T","18",",,T","19",",,T","2.5",",,T","10.1",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-03-04","1.57",",,T","0.00",",,T","5.0",",,T","30",",,T","47",",,T","17",",,T","29",",,T","2.5",",,T","7.8",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-03-05","2.01",",,T","1.60",",,T","15.0",",,T","34",",,T","40",",,T","29",",,T","30",",,T","3.9",",,T","13.2",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-03-06","2.24",",,T","0.40",",,T","19.0",",,T","22",",,T","30",",,T","13",",,T","20",",,T","4.3",",,T","22.6",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-03-07","1.57",",,T","0.00",",,T","18.0",",,T","22",",,T","28",",,T","13",",,T","18",",,T","4.4",",,T","10.1",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-03-08","2.01",",,T","0.00",",,T","16.0",",,T","24",",,T","40",",,T","10",",,T","23",",,T","4.4",",,T","7.6",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-03-09","2.01",",,T","0.10",",,T","13.0",",,T","35",",,T","53",",,T","22",",,T","32",",,T","4.4",",,T","7.6",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-03-10","1.79",",,T","0.00",",,T","11.0",",,T","37",",,T","52",",,T","27",",,T","29",",,T","4.3",",,T","8.5",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-03-11","1.57",",,T","0.00",",,T","12.0",",,T","32",",,T","44",",,T","23",",,T","24",",,T","4.2",",,T","9.8",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-03-12","2.68",",,T","0.20",",,T","12.0",",,T","34",",,T","43",",,T","24",",,T","31",",,T","4.3",",,T","19.2",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-03-13","3.58",",,T","0.90",",,T","20.0",",,T","23",",,T","31",",,T","14",",,T","15",",,T","5.2",",,T","19.0",",,T"
"USS0015N09S","BRISTLECONE TRAIL, NV US","36.32","-115.7","2736.8","2025-03-14","2.24",",,T","0.40",",,T","21.0",",,T","22",",,T","35",",,T","9",",,T","22",",,T","5.5",",,T","19.5",",,T"
